,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,0.0,626.1316285946036,441.7867247938553,318.6194710731577,277.3783976992514,868.9660757568886,1013.3798771981828,874.5844494293696,766.6518779999278,700.4371812646436,688.0911187881312,859.5205117995041,1292.0478919537159,1088.8113721309273,1052.5964011307797,1260.0809821724367,1307.2638507624251,1401.1656954559119,1507.802834509573,1668.7402067281237,1598.4686549370704,1506.787364980642,1510.845147996475,1464.1289114650235,1791.4194577120647,2065.5087825066844,1993.3051211800087,1939.5981069094007,1856.9780146622027,1745.4898148879447,975.2027523357722
2,626.1316285946036,0.0,209.06009291344822,386.09505015617856,614.4518047887591,242.85714285714286,428.80945770867527,400.25502074634,453.7822906933883,575.8755534498964,733.0395206095715,955.0082807633297,793.468232971361,769.309258162072,863.0747123996123,1355.5057795403704,1283.7763172192658,1272.3912888088846,1631.6387155124703,1175.4287103270979,1134.7030538463193,1114.2857142857142,1204.9218790834025,1242.5286922322591,1923.113971385673,2205.4663073039815,1535.5647767754604,1513.2745950421559,1485.7142857142858,1446.74158870539,939.9305228340562
3,441.7867247938553,209.06009291344822,0.0,177.16589711917138,405.7142857142857,441.97146458816104,572.3492582937342,457.5801479923869,414.32512127850634,462.54839790897915,579.8592369652117,802.1857894629688,879.0950820390852,757.1913731086772,798.3861272362299,1215.4280341190297,1176.004997906914,1199.2820981822451,1489.1964687202894,1262.7924999615668,1205.1894592357921,1147.6826696452647,1200.0136053650494,1203.4270790928206,1782.2801264053842,2065.0720202887824,1606.7307408117229,1568.4361117797225,1514.4312598518056,1442.99575006092,823.7742904659341
4,318.6194710731577,386.09505015617856,177.16589711917138,0.0,228.58928501679554,614.2259107101842,714.8340752244823,558.5403718074241,450.9943662257289,418.12018582689643,475.6606576378688,688.1860213634102,973.845732241037,782.3616784572001,774.8126830902751,1106.0132486197663,1098.9011208791208,1154.2857142857142,1374.3302636082012,1350.13529178466,1280.675841985355,1195.3686136288586,1215.0115477741313,1188.9147855699916,1666.7235364447145,1948.3975624149425,1676.8799988705944,1626.2790884314375,1551.5653715009291,1454.2295807297373,748.4187412437625
5,277.3783976992514,614.4518047887591,405.7142857142857,228.58928501679554,0.0,838.4874623330965,913.9508315270465,729.1314374385626,575.8755534498964,460.0354910887034,414.2857142857143,582.9201646600904,1121.3148258965946,863.0747123996123,796.9328960560774,988.1791129059922,1029.919751183339,1128.5714285714287,1242.2001547616212,1481.5876757101914,1400.0728844001849,1284.9203898153635,1264.9110640673516,1202.463457801084,1529.5724359227627,1807.0158058105026,1783.8275747186246,1719.3377937390874,1620.9092938148976,1493.523432992586,700.5828477279559
6,868.9660757568886,242.85714285714286,441.97146458816104,614.2259107101842,838.4874623330965,0.0,257.14285714285717,365.89281356759136,515.0787536377128,690.4597699196898,876.4492371530267,1087.9675865519869,657.7636818983623,752.8178357860228,899.0925130034036,1461.2993938161155,1351.1748478223517,1298.6649345558299,1735.5820055414217,1020.7040387369287,1000.0,1022.7015045197395,1153.963887243108,1229.8996142874792,2021.1635363859914,2300.177455443517,1390.4191116790826,1385.7879214603172,1388.0686920601413,1386.891988496257,1030.1575072754256
7,1013.3798771981828,428.80945770867527,572.3492582937342,714.8340752244823,913.9508315270465,257.14285714285717,0.0,230.35022137995855,429.52275366779736,629.2204441584355,829.0638930598234,1014.5874802608402,401.0191099319486,556.4097741185842,737.4805428080176,1343.9691444465866,1199.0642610139025,1112.8195482371684,1610.4252195476517,765.7196161861369,742.8571428571429,773.1462358705604,920.1818808678809,1017.3996465579918,1885.7683974920124,2158.466954075678,1134.3432874917323,1128.6618408630675,1134.7030538463193,1146.1559533448121,912.9454462097405
8,874.5844494293696,400.25502074634,457.5801479923869,558.5403718074241,729.1314374385626,365.89281356759136,230.35022137995855,0.0,200.0,400.0,600.0,784.5445838711989,421.85208743524,389.92411611303373,536.2378394035275,1123.3550331984297,993.714942906215,932.8472981322576,1393.2783245984697,805.2126097738259,749.9659856232392,714.4285571457136,810.7693499235835,868.9660757568886,1673.3810330085173,1949.4112140932846,1152.194002938812,1120.6776375688678,1085.8082666091352,1050.6557718969655,690.4597699196898
9,766.6518779999278,453.7822906933883,414.32512127850634,450.9943662257289,575.8755534498964,515.0787536377128,429.52275366779736,200.0,0.0,200.0,400.0,589.0150893739516,545.8563764155086,343.15463284183755,409.3299651969829,946.684870956518,842.4696445812256,818.6599303939659,1220.57196361679,908.5759209233054,832.9931278350429,745.7361792078965,785.7142857142858,796.9328960560774,1506.2455013058402,1785.7142857142858,1226.6596420976034,1175.4287103270979,1106.6588803922466,1028.6706301368395,515.0787536377128
10,700.4371812646436,575.8755534498964,462.54839790897915,418.12018582689643,460.0354910887034,690.4597699196898,629.2204441584355,400.0,200.0,0.0,200.0,397.95395077668917,705.662230584484,404.31347708814013,357.14285714285717,781.3436882599574,715.570273506754,741.7574277569811,1057.528887046957,1040.5061562645797,951.4757603055265,825.7340580924815,810.7693499235835,771.4285714285714,1348.0901078101235,1630.1370920188,1327.3419810636135,1259.8995748771051,1162.070636091157,1045.2028413623054,365.89281356759136
